,maturity (in days),strike,bid,ask,r,q,Forward Price
0,2,1405,11.4,12.3,0.2781066,0.5471396,1411.849976
1,2,1410,7.6,9.0,0.2781066,0.5471396,1411.75
2,2,1415,5.0,6.0,0.2781066,0.5471396,1411.449951
3,2,1420,3.2,4.1,0.2781066,0.5471396,1411.699951
4,2,1425,2.2,2.4,0.2781066,0.5471396,1411.699951
5,24,1405,21.7,23.0,0.232443,1.531465,1410.550903
6,24,1410,19.1,20.0,0.232443,1.531465,1410.800171
7,24,1415,15.9,17.1,0.232443,1.531465,1410.549316
8,24,1420,13.6,14.6,0.232443,1.531465,1410.698975
9,24,1425,11.0,12.2,0.232443,1.531465,1410.547729
10,52,1405,30.8,32.6,0.3240174,2.108761,1407.851318
11,52,1410,28.2,29.6,0.3240174,2.108761,1407.999023
12,52,1415,25.5,26.8,0.3240174,2.108761,1407.996704
13,52,1420,22.8,24.1,0.3240174,2.108761,1407.944336
14,52,1425,20.6,21.6,0.3240174,2.108761,1408.092163
15,80,1405,39.5,41.4,0.4331506,2.099028,1406.30127
16,80,1410,36.8,38.3,0.4331506,2.099028,1406.496582
17,80,1415,33.8,35.6,0.4331506,2.099028,1406.291626
18,80,1420,31.3,32.7,0.4331506,2.099028,1406.537109
19,80,1425,28.4,30.1,0.4331506,2.099028,1406.382202
20,93,1375,61.8,66.3,0.4826605,2.081997,1405.738037
21,93,1400,47.0,48.4,0.4826605,2.081997,1405.807251
22,93,1425,32.8,34.1,0.4826605,2.081997,1405.82605
23,93,1450,21.2,22.5,0.4826605,2.081997,1405.043945
24,93,1475,12.6,13.9,0.4826605,2.081997,1405.66394
25,115,1375,67.4,69.7,0.5572296,1.981643,1404.051392
26,115,1400,51.4,53.6,0.5572296,1.981643,1404.407959
27,115,1425,37.3,39.2,0.5572296,1.981643,1404.213379
28,115,1450,25.5,27.2,0.5572296,1.981643,1404.269043
29,115,1475,16.2,17.7,0.5572296,1.981643,1404.124756
30,178,1375,80.7,83.2,0.7316633,2.089964,1400.039673
31,178,1400,65.2,67.3,0.7316633,2.089964,1400.45166
32,178,1425,50.7,53.1,0.7316633,2.089964,1400.311279
33,178,1450,39.0,40.5,0.7316633,2.089964,1400.22168
34,178,1475,28.0,29.7,0.7316633,2.089964,1400.332397
35,184,1375,82.2,84.5,0.7436823,2.098077,1399.140991
36,184,1400,66.6,68.8,0.7436823,2.098077,1399.146729
37,184,1425,52.5,54.5,0.7436823,2.098077,1399.001953
38,184,1450,40.1,41.9,0.7436823,2.098077,1399.859985
39,184,1475,29.5,31.0,0.7436823,2.098077,1399.714966
40,269,1375,95.5,98.5,0.8831472,2.154654,1393.822876
41,269,1400,80.4,83.4,0.8831472,2.154654,1393.306274
42,269,1425,66.5,69.1,0.8831472,2.154654,1393.594482
43,269,1450,53.7,56.4,0.8831472,2.154654,1393.631104
44,269,1475,42.4,44.8,0.8831472,2.154654,1393.516724
